id,label
3312,Politik
3313,Politik
3314,Politik
3315,Politik
3316,Politik
3317,Politik
3318,Politik
3319,Politik
3320,Politik
3321,Politik
3322,Politik
3323,Politik
3324,Politik
3325,Politik
3326,Politik
3327,Politik
3328,Politik
3329,Politik
3330,Politik
3331,Politik
3332,Politik
3333,Politik
3334,Politik
3335,Politik
3336,Politik
3337,Politik
3338,Politik
3339,Politik
3340,Politik
3341,Politik
3342,Politik
3343,Politik
3344,Politik
3345,Politik
3346,Politik
3347,Politik
3348,Politik
3349,Politik
3350,Politik
3351,Politik
3352,Politik
3353,Politik
3354,Politik
3355,Politik
3356,Politik
3357,Politik
3358,Politik
3359,Politik
3360,Politik
3361,Politik
3362,Politik
3363,Politik
3364,Politik
3365,Politik
3366,Politik
3367,Politik
3368,Politik
3369,Politik
3370,Politik
3371,Politik
3372,Politik
3373,Politik
3374,Politik
3375,Politik
3376,Politik
3377,Politik
3378,Politik
3379,Politik
3380,Politik
3381,Politik
3382,Politik
3383,Politik
3384,Politik
3385,Politik
3386,Politik
3387,Politik
3388,Politik
3389,Politik
3390,Politik
3391,Politik
3392,Politik
3393,Politik
3394,Politik
3395,Politik
3396,Politik
3397,Politik
3398,Politik
3399,Politik
3400,Politik
3401,Politik
3402,Politik
3403,Politik
3404,Politik
3405,Politik
3406,Politik
3407,Politik
3408,Politik
3409,Politik
3410,Politik
3411,Politik
3412,Politik
3413,Politik
3414,Politik
3415,Politik
3416,Politik
3417,Politik
3418,Politik
3419,Politik
3420,Politik
3421,Politik
3422,Politik
3423,Politik
3424,Politik
3425,Politik
3426,Politik
3427,Politik
3428,Politik
3429,Politik
3430,Politik
3431,Politik
3432,Politik
3433,Politik
3434,Politik
3435,Politik
3436,Politik
3437,Politik
3438,Politik
3439,Politik
3440,Politik
3441,Politik
3442,Politik
3443,Politik
3444,Politik
3445,Politik
3446,Politik
3447,Politik
3448,Politik
3449,Politik
3450,Politik
3451,Politik
3452,Politik
3453,Politik
3454,Politik
3455,Politik
3456,Politik
3457,Politik
3458,Politik
3459,Politik
3460,Politik
3461,Politik
3462,Politik
3463,Politik
3464,Politik
3465,Politik
3466,Politik
3467,Politik
3468,Politik
3469,Politik
3470,Politik
3471,Politik
3472,Politik
3473,Politik
3474,Politik
3475,Politik
3476,Politik
3477,Politik
3478,Politik
3479,Politik
3480,Politik
3481,Politik
3482,Politik
3483,Politik
3484,Politik
3485,Politik
3486,Politik
3487,Politik
3488,Politik
3489,Politik
3490,Politik
3491,Politik
3492,Politik
3493,Politik
3494,Politik
3495,Politik
3496,Politik
3497,Politik
3498,Politik
3499,Politik
3500,Politik
3501,Politik
3502,Politik
3503,Politik
3504,Politik
3505,Politik
3506,Politik
3507,Politik
3508,Politik
3509,Politik
3510,Politik
3511,Politik
3512,Politik
3513,Politik
3514,Politik
3515,Politik
3516,Politik
3517,Politik
3518,Politik
3519,Politik
3520,Politik
3521,Politik
3522,Politik
3523,Politik
3524,Politik
3525,Politik
3526,Politik
3527,Politik
3528,Politik
3529,Politik
3530,Politik
3531,Politik
3532,Politik
3533,Politik
3534,Politik
3535,Politik
3536,Politik
3537,Politik
3538,Politik
3539,Politik
3540,Politik
3541,Politik
3542,Politik
3543,Politik
3544,Politik
3545,Politik
3546,Politik
3547,Politik
3548,Politik
3549,Politik
3550,Politik
3551,Politik
3552,Politik
3553,Politik
3554,Politik
3555,Politik
3556,Politik
3557,Politik
3558,Politik
3559,Politik
3560,Politik
3561,Politik
3562,Politik
3563,Politik
3564,Politik
3565,Politik
3566,Politik
3567,Politik
3568,Politik
3569,Politik
3570,Politik
3571,Politik
3572,Politik
3573,Politik
3574,Politik
3575,Politik
3576,Politik
3577,Politik
3578,Politik
3579,Politik
3580,Politik
3581,Politik
3582,Politik
3583,Politik
3584,Politik
3585,Politik
3586,Politik
3587,Politik
3588,Politik
3589,Politik
3590,Politik
3591,Politik
3592,Politik
3593,Politik
3594,Politik
3595,Politik
3596,Politik
3597,Politik
3598,Politik
3599,Politik
3600,Politik
3601,Politik
3602,Politik
3603,Politik
3604,Politik
3605,Politik
3606,Politik
3607,Politik
3608,Politik
3609,Politik
3610,Politik
3611,Politik
3612,Politik
3613,Politik
3614,Politik
3615,Politik
3616,Politik
3617,Politik
3618,Politik
3619,Politik
3620,Politik
3621,Politik
3622,Politik
3623,Politik
3624,Politik
3625,Politik
3626,Politik
3627,Politik
3628,Politik
3629,Politik
3630,Politik
3631,Politik
3632,Politik
3633,Politik
3634,Politik
3635,Politik
3636,Politik
3637,Politik
3638,Politik
3639,Politik
3640,Politik
